@relation './gisette-weka.filters.unsupervised.attribute.Remove-R1-214,216-455,457-467,469-499,501-511,513-557,559-568,570-576,578-579,581-629,631-756,758-1225,1227-1228,1230-1277,1279-1328,1330-1424,1426-1522,1524-1532,1534-1600,1602-1606,1608-1813,1815-2099,2101-2104,2106-2222,2224-2401,2403-2488,2490-2740,2742-2967,2969-3002,3004-3061,3063-3065,3067-3122,3124-3197,3199-3327,3329-3543,3545-3656,3658-3721,3723-3755,3757-3776,3778-3827,3829-3965,3967-3970,3972-3975,3977-4109,4111-4164,4166-4195,4197-4271,4273-4290,4292-4379,4381-4424,4426-4507,4509-4553,4555-4634,4636-4652,4654-4690,4692-4856,4858-4916,4918-5000'

@attribute attr214 {0,1,2,3,4,5,6,7,8,9}
@attribute attr455 {0,1,2,3,4,5,6,7,8,9}
@attribute attr467 {0,1,2,3,4,5,6,7,8,9}
@attribute attr499 {0,1,2,3,4,5,6,7,8,9}
@attribute attr511 {0,1,2,3,4,5,6,7,8,9}
@attribute attr557 {0,1,2,3,4,5,6,7,8,9}
@attribute attr568 {0,1,2,3,4,5,6,7,8,9}
@attribute attr576 {0,1,2,3,4,5,6,7,8,9}
@attribute attr579 {0,1,2,3,4,5,6,7,8,9}
@attribute attr629 {0,1,2,3,4,5,6,7,8,9}
@attribute attr756 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1225 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1228 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1277 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1328 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1424 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1522 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1532 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1600 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1606 {0,1,2,3,4,5,6,7,8,9}
@attribute attr1813 {0,1,2,3,4,5,6,7,8,9}
@attribute attr2099 {0,1,2,3,4,5,6,7,8,9}
@attribute attr2104 {0,1,2,3,4,5,6,7,8,9}
@attribute attr2222 {0,1,2,3,4,5,6,7,8,9}
@attribute attr2401 {0,1,2,3,4,5,6,7,8,9}
@attribute attr2488 {0,1,2,3,4,5,6,7,8,9}
@attribute attr2740 {0,1,2,3,4,5,6,7,8,9}
@attribute attr2967 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3002 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3061 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3065 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3122 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3197 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3327 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3543 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3656 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3721 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3755 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3776 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3827 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3965 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3970 {0,1,2,3,4,5,6,7,8,9}
@attribute attr3975 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4109 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4164 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4195 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4271 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4290 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4379 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4424 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4507 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4553 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4634 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4652 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4690 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4856 {0,1,2,3,4,5,6,7,8,9}
@attribute attr4916 {0,1,2,3,4,5,6,7,8,9}
@attribute CLASS {0,1}

@data
0,0,8,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0
8,9,0,0,0,0,7,0,0,0,8,0,9,0,0,0,0,0,9,0,8,7,0,0,0,0,9,0,9,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,8,0,0,0,8,9,0,0,0,9,0,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,6,0,0,9,9,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,6,5,0,0,0,0,9,9,9,0,0,6,0,8,9,0,0,0,0,0,9,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
9,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,9,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,9,0,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1
5,0,0,0,9,9,0,0,9,0,0,0,0,5,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,7,0,8,0,0,0,9,0,0,9,5,5,0,5,9,0,0,0,0,0,7,0
5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,9,9,5,0,9,0,9,0,9,7,9,9,0,9,0,8,0,8,0,0,9,0,0,0,9,0,0,0,0,6,5,9,0,0,0,9,9,0,9,0,0,9,9,3,0,5,9,9,0,9,0,0,3,0
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,9,9,9,8,9,0,0,0,9,9,9,0,0,9,9,0,8,5,0,0,0,0,0,0,9,0,8,0,0,0,9,9,9,0,9,0,0,0,9,0,7,9,9,5,0,7,8,0,0,0,0,9,0,0
9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,5,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,1
9,0,0,0,0,0,0,5,0,0,8,0,9,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,5,0,0
9,6,0,0,9,9,8,7,9,0,9,0,7,9,7,8,0,8,7,9,0,0,0,0,0,0,8,0,8,0,7,0,0,0,9,9,9,7,8,9,9,0,9,0,9,7,7,9,0,9,9,7,0,9,0,8,9,0
9,0,0,0,0,9,9,9,9,0,0,0,9,9,9,0,0,9,6,8,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9,9,9,0,9,8,9,0,9,0,8,9,9,0,0,0,8,9,0,9,9,0,0,0
0,9,0,0,3,0,0,9,0,0,0,0,9,0,0,0,0,0,7,7,7,0,0,0,0,0,7,0,7,0,9,0,0,9,0,5,0,0,0,7,0,0,0,0,7,0,0,0,0,0,7,9,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,5,0,9,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,9,0,0,8,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,7,9,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,8,0,0
7,0,0,0,0,9,0,8,8,0,0,0,9,0,9,8,0,0,8,0,8,5,0,0,0,0,0,0,7,0,8,0,0,0,0,9,9,0,5,7,8,0,9,0,8,9,7,0,0,7,9,8,0,8,0,5,4,0
9,0,0,0,7,9,0,0,0,0,0,0,6,0,0,0,0,0,5,0,4,9,0,0,0,0,0,0,6,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,8,9,0,0,0,5,0,0,0,0,0,0,0
9,0,0,0,7,5,9,9,5,0,6,0,9,9,0,9,0,5,9,0,0,8,0,0,0,0,0,0,9,0,9,0,0,0,0,7,5,0,0,4,7,0,0,0,8,5,9,0,0,0,8,9,0,7,0,9,0,0
9,0,0,0,0,7,7,0,6,0,9,0,9,0,9,7,0,0,9,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,7,0,7,0,8,0,0,0,0,0,0,7,9,0,0,0,0,9,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1
7,5,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,9,0,0,0,0,0,0
6,8,9,0,5,0,0,9,0,0,0,0,9,0,0,0,0,0,0,9,9,9,0,0,0,0,9,0,9,4,9,0,0,9,0,5,0,0,0,9,5,0,0,9,9,0,6,0,0,0,9,9,0,5,0,9,0,0
9,5,0,0,0,9,9,0,4,0,0,0,9,9,8,0,0,7,9,8,0,0,0,0,0,6,0,0,9,0,0,0,0,0,8,7,0,0,0,8,0,0,6,0,0,9,9,0,0,0,8,9,0,0,0,8,0,0
6,0,0,0,0,0,0,0,0,0,9,0,0,6,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,0,0,6,9,5,0,0,0,9,8,0,8,0,0,0,0,9,0,9,9,7,0,0,0,0,5,0,9,0,0,0,0,0,9,0,0,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,1
0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,8,0,6,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,0,0,9,9,0,0,9,0,0,0,0,0,5,9,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,9,9,0,9,0,0,5,4,0,0,9,9,0,0,9,0,0,9,0
9,0,0,0,9,9,7,9,7,0,0,0,9,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,9,0,9,0,0,0,7,9,9,0,9,0,0,0,9,0,0,9,9,0,0,0,0,8,0,0,9,9,0,0
9,0,0,0,6,9,0,0,0,0,9,0,5,0,9,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,8,0,0,9,9,0,0,0,0,3,0,0,0,0,0,0
0,0,0,7,8,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,7,0,0,0,0,8,0,0,0,6,0,0,0,0,8,0,0,0,0,0,9,8,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,6,0,0,6,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,5,9,0,0,0,0,8,0,8,0,9,0,0,9,0,6,0,0,0,6,0,0,0,5,8,0,0,0,0,0,8,8,0,0,0,0,0,0
7,9,9,0,7,0,0,9,0,0,0,0,9,0,0,0,0,0,6,5,9,9,0,0,0,0,9,0,9,0,9,4,0,9,0,7,0,0,0,9,4,0,0,0,9,0,7,0,0,0,9,9,0,4,0,9,0,0
0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,9,5,9,9,0,0,7,0,9,9,4,9,0,9,9,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,4,9,5,0,3,0,9,0,4,0,0,5,9,0,0,0,0,0,0,9,0,9,0,0
9,0,0,0,0,9,9,5,9,0,0,0,9,9,9,0,0,9,9,0,0,0,0,0,5,9,0,0,9,0,5,0,0,0,9,9,7,0,9,0,7,0,9,0,0,9,9,0,0,0,0,0,0,7,9,9,0,0
6,0,8,0,0,5,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
0,3,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
