@relation 'spambase-weka.filters.supervised.attribute.Discretize-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R3,11,5,23-24,27,16,21,7,25,53,56,58'

@attribute word_freq_all {'\'(-inf-0.235]\'','\'(0.235-1.93]\'','\'(1.93-inf)\''}
@attribute word_freq_receive {'\'(-inf-0.045]\'','\'(0.045-1.825]\'','\'(1.825-2.03]\'','\'(2.03-inf)\''}
@attribute word_freq_our {'\'(-inf-0.01]\'','\'(0.01-0.345]\'','\'(0.345-inf)\''}
@attribute word_freq_000 {'\'(-inf-0.125]\'','\'(0.125-0.26]\'','\'(0.26-inf)\''}
@attribute word_freq_money {'\'(-inf-0.01]\'','\'(0.01-inf)\''}
@attribute word_freq_george {'\'(-inf-0.005]\'','\'(0.005-0.44]\'','\'(0.44-inf)\''}
@attribute word_freq_free {'\'(-inf-0.095]\'','\'(0.095-inf)\''}
@attribute word_freq_your {'\'(-inf-0.405]\'','\'(0.405-0.915]\'','\'(0.915-6.6]\'','\'(6.6-inf)\''}
@attribute word_freq_remove {'\'(-inf-0.01]\'','\'(0.01-inf)\''}
@attribute word_freq_hp {'\'(-inf-0.12]\'','\'(0.12-1.495]\'','\'(1.495-inf)\''}
@attribute char_freq_$ {'\'(-inf-0.0125]\'','\'(0.0125-0.0555]\'','\'(0.0555-0.1475]\'','\'(0.1475-inf)\''}
@attribute capital_run_length_longest {'\'(-inf-5.5]\'','\'(5.5-9.5]\'','\'(9.5-18.5]\'','\'(18.5-55.5]\'','\'(55.5-251.5]\'','\'(251.5-inf)\''}
@attribute class {0,1}

@data
'\'(-inf-0.235]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.0125-0.0555]\'','\'(55.5-251.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(-inf-5.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(18.5-55.5]\'',1
'\'(-inf-0.235]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.0125-0.0555]\'','\'(55.5-251.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(18.5-55.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(-inf-0.405]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(-inf-0.235]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(55.5-251.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(1.93-inf)\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.0555-0.1475]\'','\'(9.5-18.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(-inf-5.5]\'',1
'\'(-inf-0.235]\'','\'(0.045-1.825]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.405-0.915]\'','\'(-inf-0.01]\'','\'(0.12-1.495]\'','\'(-inf-0.0125]\'','\'(18.5-55.5]\'',1
'\'(1.93-inf)\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(5.5-9.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(0.26-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(55.5-251.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(55.5-251.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(55.5-251.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(0.26-inf)\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.405-0.915]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(18.5-55.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(-inf-5.5]\'',1
'\'(-inf-0.235]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(-inf-0.405]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.0125-0.0555]\'','\'(18.5-55.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.0555-0.1475]\'','\'(55.5-251.5]\'',1
'\'(-inf-0.235]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(0.26-inf)\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(9.5-18.5]\'',1
'\'(0.235-1.93]\'','\'(0.045-1.825]\'','\'(-inf-0.01]\'','\'(0.26-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(5.5-9.5]\'',1
'\'(0.235-1.93]\'','\'(0.045-1.825]\'','\'(0.01-0.345]\'','\'(0.26-inf)\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(55.5-251.5]\'',1
'\'(0.235-1.93]\'','\'(0.045-1.825]\'','\'(-inf-0.01]\'','\'(0.125-0.26]\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.405-0.915]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(18.5-55.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(0.26-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(18.5-55.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.01-0.345]\'','\'(0.125-0.26]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.405-0.915]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.0555-0.1475]\'','\'(18.5-55.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(9.5-18.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(0.26-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(18.5-55.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(18.5-55.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.0555-0.1475]\'','\'(55.5-251.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(5.5-9.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(55.5-251.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(55.5-251.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(-inf-0.405]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(55.5-251.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.01-0.345]\'','\'(-inf-0.125]\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(9.5-18.5]\'',1
'\'(0.235-1.93]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.405-0.915]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(5.5-9.5]\'',1
'\'(-inf-0.235]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(0.12-1.495]\'','\'(0.0125-0.0555]\'','\'(9.5-18.5]\'',1
'\'(-inf-0.235]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.0125-0.0555]\'','\'(18.5-55.5]\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(18.5-55.5]\'',1
'\'(0.235-1.93]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(18.5-55.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(-inf-5.5]\'',1
'\'(0.235-1.93]\'','\'(0.045-1.825]\'','\'(-inf-0.01]\'','\'(-inf-0.125]\'','\'(0.01-inf)\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.1475-inf)\'','\'(55.5-251.5]\'',1
'\'(-inf-0.235]\'','\'(-inf-0.045]\'','\'(-inf-0.01]\'','\'(0.26-inf)\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(-inf-0.405]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(0.0555-0.1475]\'','\'(55.5-251.5]\'',1
'\'(-inf-0.235]\'','\'(0.045-1.825]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(-inf-0.095]\'','\'(0.915-6.6]\'','\'(0.01-inf)\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(251.5-inf)\'',1
'\'(0.235-1.93]\'','\'(-inf-0.045]\'','\'(0.345-inf)\'','\'(-inf-0.125]\'','\'(-inf-0.01]\'','\'(-inf-0.005]\'','\'(0.095-inf)\'','\'(0.915-6.6]\'','\'(-inf-0.01]\'','\'(-inf-0.12]\'','\'(-inf-0.0125]\'','\'(55.5-251.5]\'',1
