@relation './madelon_sorted-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R3,1,13,5,9,14,275,46,501'

@attribute feature-90 {'\'(-inf-474.4]\'','\'(474.4-474.8]\'','\'(474.8-475.2]\'','\'(475.2-475.6]\'','\'(475.6-476]\'','\'(476-476.4]\'','\'(476.4-476.8]\'','\'(476.8-477.2]\'','\'(477.2-477.6]\'','\'(477.6-inf)\''}
@attribute feature-423 {'\'(-inf-474.4]\'','\'(474.4-474.8]\'','\'(474.8-475.2]\'','\'(475.2-475.6]\'','\'(475.6-476]\'','\'(476-476.4]\'','\'(476.4-476.8]\'','\'(476.8-477.2]\'','\'(477.2-477.6]\'','\'(477.6-inf)\''}
@attribute feature-276 {'\'(-inf-474.4]\'','\'(474.4-474.8]\'','\'(474.8-475.2]\'','\'(475.2-475.6]\'','\'(475.6-476]\'','\'(476-476.4]\'','\'(476.4-476.8]\'','\'(476.8-477.2]\'','\'(477.2-477.6]\'','\'(477.6-inf)\''}
@attribute feature-404 {'\'(-inf-474.5]\'','\'(474.5-475]\'','\'(475-475.5]\'','\'(475.5-476]\'','\'(476-476.5]\'','\'(476.5-477]\'','\'(477-477.5]\'','\'(477.5-478]\'','\'(478-478.5]\'','\'(478.5-inf)\''}
@attribute feature-228 {'\'(-inf-473.6]\'','\'(473.6-474.2]\'','\'(474.2-474.8]\'','\'(474.8-475.4]\'','\'(475.4-476]\'','\'(476-476.6]\'','\'(476.6-477.2]\'','\'(477.2-477.8]\'','\'(477.8-478.4]\'','\'(478.4-inf)\''}
@attribute feature-332 {'\'(-inf-473.7]\'','\'(473.7-474.4]\'','\'(474.4-475.1]\'','\'(475.1-475.8]\'','\'(475.8-476.5]\'','\'(476.5-477.2]\'','\'(477.2-477.9]\'','\'(477.9-478.6]\'','\'(478.6-479.3]\'','\'(479.3-inf)\''}
@attribute feature-309 {'\'(-inf-369.1]\'','\'(369.1-391.2]\'','\'(391.2-413.3]\'','\'(413.3-435.4]\'','\'(435.4-457.5]\'','\'(457.5-479.6]\'','\'(479.6-501.7]\'','\'(501.7-523.8]\'','\'(523.8-545.9]\'','\'(545.9-inf)\''}
@attribute feature-189 {'\'(-inf-461.1]\'','\'(461.1-465.2]\'','\'(465.2-469.3]\'','\'(469.3-473.4]\'','\'(473.4-477.5]\'','\'(477.5-481.6]\'','\'(481.6-485.7]\'','\'(485.7-489.8]\'','\'(489.8-493.9]\'','\'(493.9-inf)\''}
@attribute CLASS {0,1}

@data
'\'(475.6-476]\'','\'(474.8-475.2]\'','\'(476.8-477.2]\'','\'(476.5-477]\'','\'(475.4-476]\'','\'(475.8-476.5]\'','\'(435.4-457.5]\'','\'(477.5-481.6]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(476.5-477]\'','\'(476.6-477.2]\'','\'(474.4-475.1]\'','\'(479.6-501.7]\'','\'(485.7-489.8]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(476.8-477.2]\'','\'(475.5-476]\'','\'(477.8-478.4]\'','\'(475.8-476.5]\'','\'(457.5-479.6]\'','\'(473.4-477.5]\'',1
'\'(475.6-476]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(477.5-478]\'','\'(475.4-476]\'','\'(474.4-475.1]\'','\'(479.6-501.7]\'','\'(477.5-481.6]\'',0
'\'(475.6-476]\'','\'(476.8-477.2]\'','\'(476.8-477.2]\'','\'(476.5-477]\'','\'(474.8-475.4]\'','\'(475.8-476.5]\'','\'(479.6-501.7]\'','\'(469.3-473.4]\'',0
'\'(476.8-477.2]\'','\'(475.6-476]\'','\'(476.8-477.2]\'','\'(477.5-478]\'','\'(475.4-476]\'','\'(474.4-475.1]\'','\'(501.7-523.8]\'','\'(469.3-473.4]\'',0
'\'(474.8-475.2]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(476.5-477]\'','\'(476.6-477.2]\'','\'(476.5-477.2]\'','\'(479.6-501.7]\'','\'(477.5-481.6]\'',1
'\'(475.6-476]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(477.5-478]\'','\'(476.6-477.2]\'','\'(476.5-477.2]\'','\'(457.5-479.6]\'','\'(477.5-481.6]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(474.8-475.2]\'','\'(475.5-476]\'','\'(475.4-476]\'','\'(476.5-477.2]\'','\'(457.5-479.6]\'','\'(481.6-485.7]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(474.8-475.2]\'','\'(476.5-477]\'','\'(475.4-476]\'','\'(474.4-475.1]\'','\'(457.5-479.6]\'','\'(481.6-485.7]\'',0
'\'(475.6-476]\'','\'(476.8-477.2]\'','\'(475.6-476]\'','\'(476.5-477]\'','\'(474.8-475.4]\'','\'(476.5-477.2]\'','\'(479.6-501.7]\'','\'(481.6-485.7]\'',1
'\'(474.8-475.2]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(475.5-476]\'','\'(475.4-476]\'','\'(475.8-476.5]\'','\'(479.6-501.7]\'','\'(473.4-477.5]\'',0
'\'(476.8-477.2]\'','\'(474.8-475.2]\'','\'(475.6-476]\'','\'(475.5-476]\'','\'(475.4-476]\'','\'(476.5-477.2]\'','\'(457.5-479.6]\'','\'(469.3-473.4]\'',0
'\'(475.6-476]\'','\'(476.8-477.2]\'','\'(475.6-476]\'','\'(476.5-477]\'','\'(474.8-475.4]\'','\'(475.8-476.5]\'','\'(435.4-457.5]\'','\'(473.4-477.5]\'',0
'\'(475.6-476]\'','\'(476.8-477.2]\'','\'(474.8-475.2]\'','\'(475.5-476]\'','\'(477.8-478.4]\'','\'(473.7-474.4]\'','\'(479.6-501.7]\'','\'(481.6-485.7]\'',0
'\'(474.8-475.2]\'','\'(474.8-475.2]\'','\'(476.8-477.2]\'','\'(476.5-477]\'','\'(475.4-476]\'','\'(475.8-476.5]\'','\'(457.5-479.6]\'','\'(469.3-473.4]\'',0
'\'(475.6-476]\'','\'(476.8-477.2]\'','\'(474.8-475.2]\'','\'(475.5-476]\'','\'(474.8-475.4]\'','\'(475.8-476.5]\'','\'(457.5-479.6]\'','\'(477.5-481.6]\'',0
'\'(474.8-475.2]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(475.5-476]\'','\'(475.4-476]\'','\'(473.7-474.4]\'','\'(457.5-479.6]\'','\'(477.5-481.6]\'',1
'\'(475.6-476]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(475.5-476]\'','\'(476.6-477.2]\'','\'(475.8-476.5]\'','\'(435.4-457.5]\'','\'(481.6-485.7]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(474.8-475.2]\'','\'(477.5-478]\'','\'(475.4-476]\'','\'(476.5-477.2]\'','\'(435.4-457.5]\'','\'(481.6-485.7]\'',1
'\'(475.6-476]\'','\'(476.8-477.2]\'','\'(475.6-476]\'','\'(475.5-476]\'','\'(475.4-476]\'','\'(478.6-479.3]\'','\'(479.6-501.7]\'','\'(477.5-481.6]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(475.5-476]\'','\'(476.6-477.2]\'','\'(476.5-477.2]\'','\'(479.6-501.7]\'','\'(477.5-481.6]\'',1
'\'(475.6-476]\'','\'(475.6-476]\'','\'(-inf-474.4]\'','\'(476.5-477]\'','\'(477.8-478.4]\'','\'(475.8-476.5]\'','\'(479.6-501.7]\'','\'(477.5-481.6]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(474.8-475.2]\'','\'(476.5-477]\'','\'(476.6-477.2]\'','\'(475.8-476.5]\'','\'(501.7-523.8]\'','\'(477.5-481.6]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(476.5-477]\'','\'(475.4-476]\'','\'(476.5-477.2]\'','\'(479.6-501.7]\'','\'(477.5-481.6]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(475.5-476]\'','\'(475.4-476]\'','\'(476.5-477.2]\'','\'(479.6-501.7]\'','\'(485.7-489.8]\'',0
'\'(475.6-476]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(475.5-476]\'','\'(475.4-476]\'','\'(477.9-478.6]\'','\'(413.3-435.4]\'','\'(477.5-481.6]\'',1
'\'(475.6-476]\'','\'(475.6-476]\'','\'(475.6-476]\'','\'(475.5-476]\'','\'(475.4-476]\'','\'(475.8-476.5]\'','\'(457.5-479.6]\'','\'(481.6-485.7]\'',0
'\'(475.6-476]\'','\'(474.8-475.2]\'','\'(475.6-476]\'','\'(476.5-477]\'','\'(475.4-476]\'','\'(475.8-476.5]\'','\'(457.5-479.6]\'','\'(477.5-481.6]\'',1
