@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R13,8,23'

@attribute stalk-surface-below-ring {f,k,s,y}
@attribute gill-size {b,n}
@attribute class {e,p}

@data
s,b,e
s,b,e
s,b,e
s,n,e
s,b,e
f,b,e
s,b,e
s,b,e
y,b,e
y,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,n,e
y,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,n,e
s,n,e
s,n,e
s,n,e
s,n,e
s,b,e
s,n,e
s,b,e
s,b,e
s,b,e
s,n,e
s,n,e
s,n,e
y,b,e
s,b,e
s,n,e
y,b,e
y,b,e
s,n,e
s,n,p
s,n,p
y,b,e
y,b,e
s,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,n,e
s,n,e
s,n,e
s,b,e
s,n,e
s,n,e
s,n,e
s,b,e
y,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,n,p
s,n,e
s,b,e
y,b,e
s,b,e
s,n,e
y,b,e
y,b,e
s,b,e
s,n,p
y,b,e
s,n,p
s,b,e
s,b,e
s,n,e
s,b,e
s,n,e
s,b,e
f,b,e
s,n,p
y,b,e
s,b,e
s,b,e
s,b,e
s,n,e
s,n,e
s,b,e
s,n,e
s,b,e
y,b,e
s,n,e
s,b,e
y,b,e
s,n,p
s,n,e
s,b,e
s,b,e
s,b,e
s,n,e
s,n,e
s,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,n,p
s,b,e
s,b,e
s,n,e
s,b,e
s,b,e
y,b,e
s,b,e
s,n,e
s,b,e
y,b,e
s,n,p
s,b,e
s,b,e
s,b,e
y,b,e
y,b,e
s,b,e
s,n,e
s,n,e
s,n,e
s,b,e
s,n,p
f,b,e
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
s,n,p
s,n,p
f,b,e
y,b,e
f,b,e
y,b,e
s,b,e
s,b,e
f,b,e
y,b,e
s,b,e
s,n,e
s,b,e
f,b,e
f,b,e
s,n,p
y,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,e
y,b,e
s,b,e
s,n,e
y,b,e
s,n,e
s,b,e
s,n,e
s,n,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
y,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
y,b,e
y,b,e
y,b,e
s,n,e
s,b,e
s,b,e
s,b,e
s,n,e
s,b,e
s,b,e
y,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,b,e
y,b,e
s,n,e
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
y,b,e
y,b,e
y,b,e
s,b,e
s,b,e
s,n,e
s,b,e
s,n,e
y,b,e
s,n,e
s,n,e
y,b,e
y,b,e
s,b,e
s,n,e
s,b,e
s,n,e
s,b,e
s,b,e
s,b,e
s,n,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,n,p
f,b,e
y,b,e
s,b,e
y,b,e
y,b,e
s,b,e
s,n,e
s,b,e
s,b,e
y,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
y,b,e
s,n,e
y,b,e
s,b,e
s,n,e
s,b,e
y,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,n,e
s,n,p
s,b,e
s,n,e
s,n,e
s,b,e
y,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,n,e
y,b,e
s,b,e
s,n,e
s,b,e
s,b,e
s,b,e
y,b,e
f,b,e
s,b,e
y,b,e
s,b,e
y,b,e
s,b,e
s,n,e
y,b,e
f,b,e
s,n,e
s,n,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,e
s,b,e
y,b,e
s,n,p
y,b,e
s,b,e
s,b,e
s,b,e
s,n,e
s,b,e
s,b,e
s,b,e
s,n,p
s,n,e
s,b,e
s,n,p
y,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,n,p
y,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
y,b,e
s,b,e
y,b,e
s,b,e
s,n,e
s,b,e
s,b,e
s,n,p
s,n,p
s,n,p
s,b,e
y,b,e
y,b,e
s,n,e
s,b,e
s,b,e
s,n,e
s,b,e
s,b,e
y,b,e
s,b,e
s,n,e
s,n,e
s,b,e
s,n,e
s,n,e
s,n,e
y,b,e
y,b,e
y,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
s,n,e
s,n,p
s,b,e
s,n,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,n,e
s,b,e
y,b,e
s,n,e
s,b,e
s,n,e
y,b,e
s,n,e
s,b,e
s,b,e
s,n,p
y,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,b,e
s,n,e
y,b,e
s,n,e
s,b,e
y,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,b,e
s,b,e
y,b,e
s,b,e
s,n,e
f,b,e
s,b,e
s,b,e
y,b,e
s,n,e
s,b,e
y,b,e
y,b,e
s,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,n,p
f,b,e
s,n,p
s,n,p
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,n,e
s,b,e
s,b,e
s,b,e
s,n,p
s,n,e
s,b,e
s,b,e
f,b,e
s,n,p
s,b,e
s,n,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,n,p
s,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,n,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,n,p
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
f,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,n,e
f,b,e
f,b,e
s,b,e
s,n,e
s,b,e
s,n,p
s,b,e
y,b,e
s,b,e
s,n,p
y,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
f,b,e
f,b,e
s,n,e
y,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,n,p
s,n,e
s,n,e
s,b,e
s,b,e
s,b,e
s,n,p
f,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,n,e
s,n,e
s,n,p
y,b,e
y,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,n,p
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
y,b,e
s,b,e
s,b,e
s,n,e
f,b,e
s,b,e
s,b,e
f,b,e
s,n,e
s,b,e
f,b,e
s,n,p
s,n,e
s,b,e
s,b,e
s,b,e
y,b,e
f,b,e
s,n,p
s,b,e
s,b,e
y,b,e
s,b,e
s,n,e
s,n,p
s,b,e
y,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,n,e
y,b,e
f,b,e
s,n,e
f,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,n,p
f,b,e
s,b,e
f,b,e
s,b,e
s,n,p
y,b,e
s,b,e
y,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,n,e
s,b,e
s,b,e
s,b,e
f,b,e
f,b,e
s,n,p
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
y,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
y,b,e
f,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,n,e
s,n,e
s,n,e
s,b,e
s,n,e
f,b,e
y,b,e
y,b,e
y,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
y,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
y,b,e
f,b,e
s,b,e
s,n,p
f,b,e
s,b,e
f,b,e
f,b,e
y,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,n,p
s,b,e
f,b,e
f,b,e
f,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,n,p
f,b,e
s,n,p
s,n,p
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,n,p
s,n,p
s,b,e
s,n,p
f,b,e
s,b,e
s,n,p
s,n,p
s,n,p
s,n,p
f,b,e
s,b,e
f,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
f,b,e
s,n,p
s,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,n,p
s,n,p
s,b,e
s,b,e
f,b,e
y,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
f,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
f,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,n,p
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
f,b,e
f,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
f,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,n,p
s,n,p
f,b,e
s,b,e
s,n,p
f,b,e
s,n,p
s,b,e
s,n,p
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,n,p
f,b,e
y,b,e
s,b,e
s,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
f,b,e
f,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
y,b,e
s,n,p
f,b,e
s,b,e
s,n,p
s,n,p
s,n,p
s,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,n,p
s,n,p
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,n,p
f,b,e
s,n,p
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,b,e
s,n,e
f,b,e
s,b,e
s,b,e
s,n,e
s,b,e
s,b,e
s,b,e
f,b,e
s,n,p
f,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,n,p
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,n,p
f,b,e
f,b,e
f,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,e
f,b,e
f,b,e
f,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,n,p
s,b,e
s,n,p
s,b,e
f,b,e
s,n,p
f,b,e
s,n,p
f,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,n,p
s,b,e
y,b,e
s,b,e
f,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,n,p
f,b,e
s,b,e
f,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,n,p
f,b,e
f,b,e
f,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,n,p
f,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,n,p
f,b,e
s,n,p
s,b,e
s,b,e
y,b,e
f,b,e
f,b,e
s,b,e
f,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,n,e
s,n,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,n,p
s,n,p
s,n,p
f,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,n,p
s,n,p
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,n,p
f,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
y,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,n,p
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
f,b,e
f,b,e
s,n,p
s,b,e
s,b,e
f,b,e
f,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,n,p
f,b,e
s,b,e
y,b,e
f,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
f,b,e
s,b,e
f,b,e
f,b,e
y,b,e
s,n,p
s,b,e
s,n,e
s,n,p
f,b,e
f,b,e
y,b,e
f,b,e
f,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,n,p
f,b,e
s,b,e
s,b,e
y,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,n,e
f,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,n,p
f,b,e
f,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
f,b,e
s,n,p
f,b,e
s,b,e
s,n,p
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,e
f,b,e
s,n,p
s,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
y,b,e
s,n,p
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,n,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
f,b,e
s,n,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,n,p
s,n,p
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
f,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,n,p
y,b,e
s,n,p
s,b,e
f,b,e
s,n,p
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,e
s,n,e
f,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
f,b,e
s,b,e
y,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,n,p
s,b,e
f,b,e
s,b,e
f,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
