@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R10,3,1,17,14,6,16,15,2,9,12-13,22,4,8,11,23'

@attribute stalk-shape {e,t}
@attribute cap-color {b,c,e,g,n,p,r,u,w,y}
@attribute cap-shape {b,c,f,k,s,x}
@attribute veil-color {n,o,w,y}
@attribute stalk-color-above-ring {b,c,e,g,n,o,p,w,y}
@attribute gill-attachment {a,d,f,n}
@attribute veil-type {p,u}
@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute cap-surface {f,g,s,y}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute habitat {d,g,l,m,p,u,w}
@attribute bruises? {f,t}
@attribute gill-size {b,n}
@attribute stalk-root {b,c,e,r,u,z}
@attribute class {e,p}

@data
e,y,x,w,w,f,p,w,s,k,s,s,g,t,b,c,e
e,n,x,w,w,f,p,w,y,p,s,y,p,t,b,r,e
e,g,s,w,w,f,p,w,f,k,s,s,u,f,n,e,e
e,y,b,w,w,f,p,w,y,k,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,s,g,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,y,n,s,s,g,t,b,c,e
t,n,f,w,w,f,p,w,s,k,s,s,g,f,b,e,e
e,w,x,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,y,f,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,y,x,w,w,f,p,w,y,w,s,s,g,t,b,c,e
e,g,x,w,w,f,p,w,f,p,s,s,u,f,n,e,e
t,y,f,w,w,f,p,w,f,p,s,s,d,t,n,b,e
e,w,b,w,w,f,p,w,y,g,s,s,m,t,b,c,e
t,y,f,w,w,f,p,w,f,w,s,s,d,t,n,b,e
e,n,x,w,w,f,p,w,y,p,s,y,p,t,b,r,e
e,y,b,w,w,f,p,w,s,k,s,s,g,t,b,c,e
t,y,f,w,w,f,p,w,s,p,s,s,d,t,n,b,e
t,w,x,w,w,f,p,w,s,n,s,s,d,t,n,b,e
e,n,f,w,w,f,p,w,y,p,s,y,p,t,b,r,e
e,n,x,w,w,f,p,w,y,w,s,s,u,t,n,e,p
e,n,f,w,w,f,p,w,y,n,s,y,g,t,b,r,e
t,n,x,w,w,f,p,w,s,k,f,s,g,f,b,e,e
e,w,x,w,w,f,p,w,y,w,s,s,g,t,n,e,p
e,g,f,w,w,f,p,w,f,n,s,s,u,f,n,e,e
t,g,x,w,w,f,p,w,f,n,s,s,g,f,b,e,e
e,y,x,w,w,f,p,w,y,w,s,y,g,t,b,r,e
t,n,x,w,w,f,p,w,s,k,s,s,g,f,b,e,e
e,w,b,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,n,f,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,n,s,w,w,f,p,w,f,n,s,s,u,f,n,e,e
e,n,x,w,w,f,p,w,f,n,s,s,u,f,n,e,e
e,w,b,w,w,f,p,w,s,k,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,y,g,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,y,g,s,s,m,t,b,c,e
t,n,x,w,w,f,p,w,s,n,s,s,g,f,b,e,e
e,w,x,w,w,f,p,w,s,g,s,s,g,t,b,c,e
e,n,f,w,w,f,p,w,y,p,s,y,g,t,b,r,e
e,y,x,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,s,g,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,y,g,s,s,g,t,b,c,e
t,n,x,w,w,f,p,w,f,p,f,s,g,f,b,e,e
e,y,b,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,y,f,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,y,x,w,w,f,p,w,y,n,s,y,p,t,b,r,e
e,w,b,w,w,f,p,w,y,g,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,y,n,s,s,m,t,b,c,e
e,y,x,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,w,b,w,w,f,p,w,y,n,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,y,x,w,w,f,p,w,s,k,s,s,m,t,b,c,e
e,y,x,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,g,s,w,w,f,p,w,f,g,s,s,u,f,n,e,e
t,w,x,w,w,f,p,w,f,w,s,s,d,t,n,b,e
e,y,x,w,w,f,p,w,s,n,s,s,m,t,b,c,e
e,w,x,w,w,f,p,w,y,n,s,s,u,t,n,e,p
e,y,x,w,w,f,p,w,y,p,s,y,g,t,b,r,e
e,g,s,w,w,f,p,w,f,p,s,s,u,f,n,e,e
e,y,x,w,w,f,p,w,y,w,s,y,g,t,b,r,e
t,y,x,w,w,f,p,w,s,p,s,s,d,t,n,b,e
e,n,s,w,w,f,p,w,f,k,s,s,u,f,n,e,e
e,w,x,w,w,f,p,w,s,k,s,s,g,t,n,e,p
e,w,x,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,n,f,w,w,f,p,w,y,p,s,s,g,t,n,e,p
t,g,f,w,w,f,p,w,s,k,s,s,g,f,b,e,e
e,y,x,w,w,f,p,w,s,g,s,s,m,t,b,c,e
t,w,x,w,w,f,p,w,s,n,s,f,g,f,b,e,e
e,y,b,w,w,f,p,w,s,w,s,s,g,t,b,c,e
t,g,f,w,w,f,p,w,f,h,s,s,g,f,b,e,e
e,w,x,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,s,n,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,y,w,s,s,m,t,b,c,e
t,w,f,w,w,f,p,w,s,w,s,s,d,t,n,b,e
e,y,x,w,w,f,p,w,y,g,s,s,m,t,b,c,e
t,w,f,w,w,f,p,w,s,p,s,s,d,t,n,b,e
e,w,x,w,w,f,p,w,y,w,s,s,u,t,n,e,p
t,w,f,w,w,f,p,w,f,w,s,s,d,t,n,b,e
e,y,x,w,w,f,p,w,y,n,s,s,g,t,b,c,e
e,n,x,w,w,f,p,w,s,p,s,s,g,t,n,e,p
e,y,b,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,n,x,w,w,f,p,w,y,w,s,y,p,t,b,r,e
e,y,b,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,n,s,w,w,f,p,w,f,k,s,s,u,f,n,e,e
e,n,f,w,w,f,p,w,y,w,s,y,p,t,b,r,e
e,y,x,w,w,f,p,w,y,k,s,s,g,t,b,c,e
t,g,x,w,w,f,p,w,f,k,f,f,g,f,b,e,e
t,w,f,w,w,f,p,w,f,k,s,f,g,f,b,e,e
e,y,x,w,w,f,p,w,y,w,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,s,k,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,w,x,w,w,f,p,w,y,w,s,s,g,t,b,c,e
t,n,x,w,w,f,p,w,s,p,f,s,g,f,b,e,e
e,w,x,w,w,f,p,w,y,g,s,s,g,t,b,c,e
e,n,s,w,w,f,p,w,f,k,s,s,u,f,n,e,e
t,w,x,w,w,f,p,w,s,w,s,s,d,t,n,b,e
e,n,x,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,y,b,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,y,n,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,s,g,s,s,g,t,b,c,e
e,y,b,w,w,f,p,w,s,g,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,y,n,s,s,g,t,b,c,e
e,n,x,w,w,f,p,w,f,k,s,s,u,f,n,e,e
e,n,f,w,w,f,p,w,y,n,s,y,g,t,b,r,e
e,w,x,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,y,f,w,w,f,p,w,y,w,s,y,p,t,b,r,e
e,w,b,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,s,w,s,s,m,t,b,c,e
e,n,x,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,w,b,w,w,f,p,w,s,k,s,s,g,t,b,c,e
e,g,x,w,w,f,p,w,f,g,s,s,u,f,n,e,e
e,y,b,w,w,f,p,w,s,k,s,s,g,t,b,c,e
t,y,x,w,w,f,p,w,f,n,s,s,d,t,n,b,e
e,y,b,w,w,f,p,w,y,w,s,s,g,t,b,c,e
e,y,f,w,w,f,p,w,y,p,s,y,g,t,b,r,e
e,w,b,w,w,f,p,w,y,w,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,y,k,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,y,g,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,s,g,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,y,p,s,s,u,t,n,e,p
e,n,s,w,w,f,p,w,f,g,s,s,u,f,n,e,e
e,n,f,w,w,f,p,w,f,g,s,s,u,f,n,e,e
e,y,x,w,w,f,p,w,s,g,s,s,m,t,b,c,e
e,n,f,w,w,f,p,w,y,p,s,y,p,t,b,r,e
e,w,x,w,w,f,p,w,y,k,s,s,g,t,n,e,p
e,w,b,w,w,f,p,w,s,g,s,s,m,t,b,c,e
e,g,f,w,w,f,p,w,f,p,s,s,u,f,n,e,e
e,y,b,w,w,f,p,w,y,g,s,s,g,t,b,c,e
e,n,x,w,w,f,p,w,y,w,s,y,p,t,b,r,e
t,w,x,w,w,f,p,w,f,p,s,f,g,f,b,e,e
t,w,x,w,w,f,p,w,s,w,s,s,d,t,n,b,e
e,w,b,w,w,f,p,w,s,w,s,s,m,t,b,c,e
t,y,f,w,w,f,p,w,s,w,s,s,d,t,n,b,e
e,y,x,w,w,f,p,w,s,k,s,s,m,t,b,c,e
e,g,f,w,w,f,p,w,f,g,s,s,u,f,n,e,e
e,y,b,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,s,g,s,s,m,t,b,c,e
e,w,x,w,w,f,p,w,y,n,s,s,m,t,b,c,e
t,w,f,w,w,f,p,w,s,n,s,s,d,t,n,b,e
e,y,x,w,w,f,p,w,y,w,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,s,g,s,s,g,t,b,c,e
t,w,x,w,w,f,p,w,f,h,f,s,g,f,b,e,e
e,n,f,w,w,f,p,w,y,n,s,y,p,t,b,r,e
e,w,x,w,w,f,p,w,s,k,s,s,u,t,n,e,p
e,w,b,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,s,k,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,y,n,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,y,w,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,s,w,s,s,m,t,b,c,e
t,y,x,w,w,f,p,w,f,n,s,s,d,t,n,b,e
e,g,x,w,w,f,p,w,f,n,s,s,u,f,n,e,e
e,y,f,w,w,f,p,w,y,n,s,y,g,t,b,r,e
e,w,b,w,w,f,p,w,s,n,s,s,m,t,b,c,e
e,y,x,w,w,f,p,w,s,g,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,y,w,s,s,g,t,b,c,e
e,g,s,w,w,f,p,w,f,p,s,s,u,f,n,e,e
e,w,x,w,w,f,p,w,s,n,s,s,m,t,b,c,e
e,w,x,w,w,f,p,w,s,k,s,s,g,t,n,e,p
e,y,x,w,w,f,p,w,y,n,s,y,g,t,b,r,e
t,w,f,w,w,f,p,w,f,p,s,s,d,t,n,b,e
e,w,x,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,y,n,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,s,g,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,s,g,s,s,g,t,b,c,e
e,n,x,w,w,f,p,w,y,p,s,s,u,t,n,e,p
e,y,b,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,g,x,w,w,f,p,w,f,n,s,s,u,f,n,e,e
e,w,x,w,w,f,p,w,y,k,s,s,u,t,n,e,p
e,y,x,w,w,f,p,w,y,n,s,y,p,t,b,r,e
e,n,f,w,w,f,p,w,f,k,s,s,u,f,n,e,e
e,w,b,w,w,f,p,w,s,k,s,s,g,t,b,c,e
t,w,x,w,w,f,p,w,f,w,s,s,d,t,n,b,e
e,w,x,w,w,f,p,w,y,w,s,s,g,t,b,c,e
e,y,b,w,w,f,p,w,y,n,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,y,n,s,y,g,t,b,r,e
e,y,f,w,w,f,p,w,y,p,s,y,p,t,b,r,e
e,y,f,w,w,f,p,w,y,w,s,y,p,t,b,r,e
e,w,x,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,s,w,s,s,m,t,b,c,e
e,w,x,w,w,f,p,w,s,n,s,s,u,t,n,e,p
t,w,f,w,w,f,p,w,f,p,s,s,d,t,n,b,e
e,w,x,w,w,f,p,w,s,w,s,s,g,t,b,c,e
t,w,x,w,w,f,p,w,s,p,s,s,d,t,n,b,e
e,w,x,w,w,f,p,w,y,n,s,s,m,t,b,c,e
e,y,f,w,w,f,p,w,y,w,s,y,p,t,b,r,e
t,n,x,w,w,f,p,w,s,p,f,s,g,f,b,e,e
e,y,f,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,n,x,w,w,f,p,w,s,p,s,s,g,t,n,e,p
e,n,s,w,w,f,p,w,f,g,s,s,u,f,n,e,e
e,y,b,w,w,f,p,w,y,w,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,y,k,s,s,m,t,b,c,e
e,n,f,w,w,f,p,w,f,k,s,s,u,f,n,e,e
e,w,x,w,w,f,p,w,s,w,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,y,g,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,n,f,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,w,x,w,w,f,p,w,y,k,s,s,g,t,n,e,p
e,w,x,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,y,n,s,s,m,t,b,c,e
t,w,f,w,w,f,p,w,f,w,s,s,d,t,n,b,e
e,g,f,w,w,f,p,w,f,g,s,s,u,f,n,e,e
t,g,f,w,w,f,p,w,s,p,s,s,g,f,b,e,e
e,y,x,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,s,k,s,s,m,t,b,c,e
e,n,f,w,w,f,p,w,y,w,s,s,u,t,n,e,p
e,w,x,w,w,f,p,w,s,n,s,s,m,t,b,c,e
e,n,f,w,w,f,p,w,s,w,s,s,u,t,n,e,p
e,w,x,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,y,k,s,s,m,t,b,c,e
e,y,f,w,w,f,p,w,y,n,s,y,p,t,b,r,e
e,n,x,w,w,f,p,w,y,w,s,y,p,t,b,r,e
e,n,f,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,w,x,w,w,f,p,w,y,w,s,s,m,t,b,c,e
t,n,f,w,w,f,p,w,f,h,s,s,g,f,b,e,e
e,y,x,w,w,f,p,w,s,k,s,s,m,t,b,c,e
e,w,x,w,w,f,p,w,y,w,s,s,g,t,n,e,p
e,y,b,w,w,f,p,w,y,n,s,s,m,t,b,c,e
e,n,s,w,w,f,p,w,f,p,s,s,u,f,n,e,e
e,y,x,w,w,f,p,w,s,k,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,y,n,s,s,m,t,b,c,e
e,n,f,w,w,f,p,w,y,n,s,y,g,t,b,r,e
e,y,b,w,w,f,p,w,y,g,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,y,g,s,s,g,t,b,c,e
e,n,x,w,w,f,p,w,y,n,s,y,p,t,b,r,e
e,g,f,w,w,f,p,w,f,p,s,s,u,f,n,e,e
e,g,x,w,w,f,p,w,f,g,s,s,u,f,n,e,e
e,y,b,w,w,f,p,w,y,n,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,s,n,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,s,g,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,s,g,s,s,m,t,b,c,e
e,y,x,w,w,f,p,w,s,k,s,s,m,t,b,c,e
t,g,x,w,w,f,p,w,f,p,f,f,g,f,b,e,e
t,y,f,w,w,f,p,w,s,p,s,s,d,t,n,b,e
e,w,x,w,w,f,p,w,y,p,s,s,g,t,n,e,p
t,w,x,w,w,f,p,w,f,k,f,s,g,f,b,e,e
e,w,b,w,w,f,p,w,y,w,s,s,g,t,b,c,e
t,y,x,w,w,f,p,w,s,w,s,s,d,t,n,b,e
e,w,b,w,w,f,p,w,y,n,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,y,g,s,s,g,t,b,c,e
t,n,x,w,g,f,p,p,f,p,s,s,d,t,b,b,e
e,w,b,w,w,f,p,w,y,k,s,s,m,t,b,c,e
e,y,x,w,w,f,p,w,s,g,s,s,m,t,b,c,e
e,n,f,w,w,f,p,w,y,p,s,y,g,t,b,r,e
t,w,x,w,w,f,p,w,f,n,s,s,g,f,b,e,e
e,y,x,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,y,n,s,s,g,t,n,e,p
e,y,x,w,w,f,p,w,y,n,s,s,g,t,b,c,e
t,w,x,w,w,f,p,w,f,p,s,s,d,t,n,b,e
e,y,b,w,w,f,p,w,s,g,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,y,k,s,s,u,t,n,e,p
t,y,x,w,w,f,p,w,s,w,s,s,d,t,n,b,e
e,w,x,w,w,f,p,w,y,k,s,s,m,t,b,c,e
t,w,x,w,w,f,p,w,f,n,s,s,d,t,n,b,e
t,w,f,w,w,f,p,w,s,w,s,s,d,t,n,b,e
e,y,x,w,w,f,p,w,y,k,s,s,m,t,b,c,e
t,y,f,w,w,f,p,w,f,w,s,s,d,t,n,b,e
e,w,x,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,y,b,w,w,f,p,w,y,n,s,s,m,t,b,c,e
e,n,x,w,w,f,p,w,y,p,s,y,p,t,b,r,e
e,w,b,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,s,n,s,s,m,t,b,c,e
e,n,x,w,w,f,p,w,y,n,s,s,u,t,n,e,p
e,y,b,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,y,g,s,s,g,t,b,c,e
e,n,x,w,w,f,p,w,y,w,s,s,u,t,n,e,p
e,w,b,w,w,f,p,w,s,n,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,y,w,s,s,m,t,b,c,e
e,y,b,w,w,f,p,w,y,n,s,s,g,t,b,c,e
e,w,x,w,w,f,p,w,y,g,s,s,g,t,b,c,e
t,n,x,w,p,f,p,w,f,p,s,s,d,t,b,b,e
e,n,x,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,y,b,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,g,x,w,w,f,p,w,f,g,s,s,u,f,n,e,e
e,n,x,w,w,f,p,w,y,n,s,y,g,t,b,r,e
e,w,x,w,w,f,p,w,s,k,s,s,g,t,b,c,e
e,w,b,w,w,f,p,w,y,n,s,s,g,t,b,c,e
e,y,x,w,w,f,p,w,s,g,s,s,m,t,b,c,e
t,y,f,w,w,f,p,w,f,p,s,s,d,t,n,b,e
e,y,b,w,w,f,p,w,y,g,s,s,g,t,b,c,e
t,n,x,w,w,f,p,w,f,n,s,f,g,f,b,e,e
t,y,x,w,w,f,p,w,f,n,s,s,d,t,n,b,e
e,y,x,w,w,f,p,w,s,n,s,s,m,t,b,c,e
t,g,f,w,w,f,p,w,s,n,s,f,g,f,b,e,e
e,n,x,w,w,f,p,w,f,g,s,s,u,f,n,e,e
t,g,f,w,w,f,p,w,s,h,f,f,g,f,b,e,e
e,n,f,w,w,f,p,w,y,p,s,y,p,t,b,r,e
e,w,b,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,y,b,w,w,f,p,w,s,k,s,s,m,t,b,c,e
e,y,x,w,w,f,p,w,y,w,s,y,p,t,b,r,e
e,g,s,w,w,f,p,w,f,g,s,s,u,f,n,e,e
e,n,f,w,w,f,p,w,y,p,s,y,p,t,b,r,e
e,n,x,w,w,f,p,w,y,k,s,s,u,t,n,e,p
e,y,x,w,w,f,p,w,y,p,s,y,p,t,b,r,e
e,y,x,w,w,f,p,w,y,w,s,s,g,t,b,c,e
t,n,x,w,w,f,p,w,f,h,s,f,g,f,b,e,e
t,n,x,w,w,f,p,w,f,p,f,f,g,f,b,e,e
t,n,f,w,w,f,p,w,s,k,f,s,g,f,b,e,e
e,n,f,w,w,f,p,w,y,n,s,y,p,t,b,r,e
e,y,x,w,w,f,p,w,s,w,s,s,g,t,b,c,e
e,n,f,w,w,f,p,w,f,p,s,s,u,f,n,e,e
e,y,x,w,w,f,p,w,y,w,s,y,p,t,b,r,e
t,y,x,w,w,f,p,w,f,p,s,s,d,t,n,b,e
e,y,b,w,w,f,p,w,y,g,s,s,g,t,b,c,e
t,g,x,w,w,f,p,w,f,n,s,s,g,f,b,e,e
e,y,x,w,w,f,p,w,y,w,s,y,g,t,b,r,e
e,n,f,w,w,f,p,w,y,n,s,y,g,t,b,r,e
e,y,x,w,w,f,p,w,s,w,s,s,m,t,b,c,e
e,n,s,w,w,f,p,w,f,n,s,s,u,f,n,e,e
e,w,x,w,w,f,p,w,s,k,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,s,n,s,s,g,t,b,c,e
e,n,s,w,w,f,p,w,f,k,s,s,u,f,n,e,e
e,y,b,w,w,f,p,w,y,n,s,s,m,t,b,c,e
e,y,x,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,y,b,w,w,f,p,w,y,k,s,s,g,t,b,c,e
e,n,x,w,w,f,p,w,y,p,s,s,u,t,n,e,p
t,w,x,w,w,f,p,w,s,k,f,s,g,f,b,e,e
e,w,x,w,w,f,p,w,y,w,s,s,m,t,b,c,e
e,w,b,w,w,f,p,w,s,g,s,s,g,t,b,c,e
t,n,x,w,g,f,p,w,f,n,s,s,d,t,b,b,e
