@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R15,13,9,20,8,5,23-weka.filters.unsupervised.attribute.Remove-V-R6-7'

@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute class {e,p}

@data
n,e
a,e
p,p
n,e
a,e
l,e
a,e
l,e
n,e
l,e
l,e
a,e
n,e
l,e
p,p
l,e
a,e
a,e
p,p
a,e
a,e
l,e
l,e
l,e
a,e
a,e
a,e
l,e
l,e
a,e
p,p
l,e
a,e
p,p
l,e
l,e
a,e
l,e
n,e
a,e
l,e
n,e
l,e
a,e
a,e
a,e
a,e
l,e
n,e
l,e
a,e
n,e
n,e
n,e
a,e
a,e
a,e
l,e
n,e
a,e
p,p
a,e
a,e
n,e
n,e
n,e
a,e
a,e
n,e
a,e
a,e
a,e
n,e
a,e
l,e
a,e
n,e
a,e
l,e
n,e
l,e
l,e
a,e
p,p
n,e
a,e
a,e
n,e
p,p
l,e
n,e
l,e
a,e
a,e
l,e
a,e
n,e
a,e
n,e
l,e
l,e
n,e
p,p
l,e
a,e
p,p
l,e
l,e
l,e
l,e
a,e
a,e
l,e
a,e
n,e
l,e
l,e
p,p
a,e
l,e
p,p
l,e
n,e
l,e
a,e
p,p
l,e
l,e
a,e
a,e
a,e
n,e
n,e
a,e
l,e
l,e
l,e
l,e
a,e
a,e
l,e
l,e
a,e
l,e
l,e
a,e
l,e
l,e
l,e
l,e
l,e
l,e
n,e
l,e
l,e
l,e
l,e
l,e
n,e
a,e
l,e
a,e
a,e
a,e
l,e
a,e
a,e
n,e
a,e
a,e
l,e
l,e
a,e
l,e
a,e
a,e
n,e
l,e
n,e
n,e
a,e
a,e
l,e
a,e
l,e
l,e
n,e
a,e
a,e
l,e
n,e
l,e
a,e
a,e
p,p
p,p
l,e
a,e
a,e
n,e
a,e
a,e
l,e
a,e
a,e
l,e
a,e
a,e
p,p
n,e
n,e
a,e
n,e
n,e
a,e
a,e
n,e
n,e
n,e
l,e
a,e
l,e
a,e
l,e
l,e
a,e
p,p
n,e
l,e
a,e
a,e
n,e
a,e
a,e
a,e
p,p
l,e
p,p
n,e
a,e
n,e
l,e
a,e
a,e
n,e
p,p
a,e
n,e
a,e
l,e
n,e
l,e
a,e
n,e
n,e
l,e
l,e
l,e
a,e
p,p
l,e
l,e
a,e
a,e
a,e
a,e
n,e
a,e
p,p
a,e
n,e
p,p
a,e
a,e
l,e
a,e
l,e
a,e
l,e
n,e
l,e
l,e
p,p
a,e
a,e
l,e
a,e
a,e
a,e
n,e
n,e
n,e
a,e
p,p
n,e
l,e
p,p
a,e
p,p
l,e
l,e
p,p
p,p
n,e
l,e
n,e
l,e
l,e
a,e
n,e
a,e
l,e
n,e
n,e
n,e
n,e
p,p
l,e
l,e
n,e
l,e
a,e
n,e
l,e
l,e
l,e
a,e
n,e
l,e
l,e
n,e
a,e
a,e
n,e
a,e
n,e
l,e
a,e
a,e
a,e
l,e
n,e
a,e
l,e
a,e
l,e
a,e
l,e
l,e
a,e
l,e
a,e
l,e
a,e
l,e
a,e
p,p
p,p
l,e
n,e
a,e
l,e
n,e
a,e
l,e
p,p
p,p
l,e
a,e
a,e
l,e
l,e
a,e
a,e
n,e
n,e
l,e
l,e
n,e
n,e
l,e
l,e
a,e
l,e
a,e
a,e
a,e
n,e
a,e
n,e
a,e
l,e
a,e
a,e
l,e
a,e
n,e
p,p
a,e
a,e
p,p
p,p
n,e
p,p
n,e
l,e
l,e
l,e
l,e
l,e
n,e
a,e
a,e
a,e
n,e
l,e
l,e
l,e
a,e
l,e
a,e
a,e
n,e
a,e
a,e
l,e
n,e
a,e
p,p
l,e
n,e
a,e
l,e
l,e
n,e
p,p
p,p
l,e
a,e
a,e
p,p
l,e
n,e
n,e
a,e
a,e
a,e
l,e
l,e
l,e
a,e
p,p
a,e
a,e
l,e
a,e
l,e
a,e
a,e
l,e
n,e
a,e
a,e
l,e
l,e
l,e
n,e
l,e
n,e
l,e
n,e
a,e
a,e
a,e
l,e
a,e
a,e
n,e
a,e
p,p
a,e
l,e
l,e
a,e
n,e
l,e
l,e
a,e
p,p
n,e
l,e
p,p
l,e
l,e
l,e
a,e
a,e
p,p
p,p
l,e
n,e
p,p
l,e
a,e
a,e
p,p
l,e
a,e
l,e
a,e
a,e
l,e
l,e
a,e
a,e
p,p
p,p
p,p
a,e
a,e
a,e
a,e
l,e
l,e
n,e
a,e
l,e
a,e
l,e
l,e
a,e
l,e
l,e
n,e
a,e
l,e
l,e
l,e
p,p
l,e
p,p
a,e
a,e
a,e
p,p
a,e
n,e
a,e
n,e
a,e
l,e
l,e
l,e
l,e
a,e
n,e
n,e
n,e
l,e
l,e
a,e
a,e
p,p
l,e
a,e
a,e
a,e
a,e
l,e
n,e
l,e
n,e
l,e
a,e
l,e
a,e
n,e
a,e
l,e
a,e
l,e
l,e
l,e
a,e
n,e
a,e
l,e
l,e
a,e
a,e
a,e
a,e
l,e
n,e
l,e
a,e
a,e
l,e
l,e
a,e
l,e
l,e
l,e
l,e
n,e
n,e
n,e
l,e
n,e
p,p
n,e
p,p
p,p
l,e
n,e
l,e
n,e
n,e
a,e
l,e
n,e
n,e
n,e
n,e
n,e
l,e
l,e
n,e
n,e
n,e
p,p
n,e
a,e
n,e
n,e
p,p
l,e
n,e
n,e
a,e
n,e
n,e
n,e
a,e
n,e
p,p
n,e
n,e
n,e
n,e
l,e
n,e
p,p
p,p
l,e
n,e
n,e
n,e
l,e
p,p
n,e
l,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
l,e
n,e
n,e
l,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
l,e
l,e
n,e
n,e
n,e
n,e
n,e
l,e
a,e
l,e
p,p
n,e
l,e
n,e
p,p
l,e
n,e
n,e
n,e
n,e
l,e
a,e
n,e
a,e
n,e
n,e
a,e
l,e
n,e
p,p
n,e
n,e
a,e
a,e
a,e
p,p
p,p
n,e
l,e
l,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
a,e
a,e
n,e
p,p
a,e
a,e
n,e
n,e
n,e
a,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
l,e
n,e
l,e
l,e
n,e
l,e
n,e
n,e
l,e
n,e
n,e
p,p
l,e
a,e
n,e
n,e
l,e
n,e
p,p
a,e
n,e
l,e
n,e
n,e
p,p
n,e
l,e
n,e
p,p
l,e
n,e
l,e
n,e
l,e
l,e
p,p
l,e
n,e
a,e
n,e
l,e
n,e
p,p
n,e
n,e
n,e
p,p
n,e
n,e
n,e
p,p
n,e
n,e
p,p
n,e
l,e
n,e
n,e
p,p
a,e
n,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
n,e
n,e
a,e
n,e
n,e
p,p
n,e
p,p
n,e
a,e
n,e
n,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
p,p
n,e
p,p
a,e
n,e
n,e
n,e
n,e
a,e
n,e
n,e
a,e
n,e
a,e
p,p
n,e
n,e
a,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
n,e
a,e
l,e
l,e
n,e
a,e
a,e
n,e
n,e
p,p
l,e
n,e
n,e
l,e
n,e
l,e
a,e
p,p
n,e
a,e
l,e
l,e
l,e
a,e
a,e
n,e
p,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
a,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
a,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
p,p
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
p,p
n,e
p,p
n,e
n,e
p,p
p,p
p,p
p,p
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
p,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
a,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
p,p
p,p
n,e
n,e
n,e
a,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
l,e
n,e
n,e
n,e
l,e
n,e
n,e
p,p
n,e
p,p
n,e
n,e
l,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
a,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
p,p
p,p
n,e
n,e
p,p
n,e
p,p
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
a,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
p,p
n,e
n,e
p,p
p,p
p,p
n,e
l,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
p,p
p,p
n,e
n,e
n,e
n,e
n,e
p,p
n,e
p,p
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
a,e
n,e
n,e
n,e
a,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
l,e
p,p
n,e
n,e
n,e
p,p
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
a,e
a,e
n,e
n,e
n,e
a,e
n,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
n,e
p,p
n,e
p,p
n,e
n,e
p,p
n,e
p,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
p,p
n,e
a,e
n,e
n,e
l,e
n,e
n,e
n,e
p,p
n,e
a,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
p,p
n,e
p,p
n,e
n,e
n,e
n,e
n,e
l,e
n,e
n,e
p,p
n,e
p,p
n,e
n,e
n,e
p,p
n,e
p,p
n,e
n,e
a,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
p,p
p,p
p,p
n,e
n,e
n,e
n,e
n,e
p,p
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
l,e
n,e
p,p
n,e
p,p
n,e
p,p
l,e
l,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
l,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
a,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
p,p
n,e
n,e
a,e
n,e
n,e
p,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
l,e
p,p
n,e
n,e
p,p
n,e
n,e
a,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
a,e
n,e
n,e
n,e
a,e
n,e
n,e
n,e
p,p
p,p
n,e
n,e
n,e
n,e
p,p
a,e
n,e
p,p
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
p,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
p,p
a,e
n,e
a,e
f,p
n,e
n,e
n,e
n,e
n,e
p,p
n,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
a,e
n,e
n,e
n,e
n,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
n,e
n,e
n,e
p,p
n,e
p,p
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
l,e
p,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
a,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
n,e
n,e
n,e
n,e
n,e
a,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
a,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
p,p
l,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
a,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
p,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
f,p
n,e
n,e
f,p
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
f,p
c,p
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
c,p
n,e
n,e
f,p
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
f,p
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
c,p
n,e
n,e
f,p
f,p
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
c,p
c,p
n,e
f,p
c,p
f,p
n,e
f,p
n,e
n,e
n,e
c,p
f,p
n,e
n,e
n,e
f,p
n,e
f,p
n,e
n,e
f,p
n,e
n,e
n,e
f,p
n,e
n,e
f,p
n,e
f,p
n,e
f,p
f,p
f,p
n,e
f,p
n,e
c,p
n,e
c,p
n,e
n,e
n,e
n,e
f,p
f,p
c,p
n,e
n,e
n,e
n,e
f,p
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
c,p
n,e
n,e
f,p
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
c,p
c,p
n,e
n,e
n,e
f,p
n,e
n,e
n,e
c,p
n,e
n,e
f,p
n,e
f,p
c,p
n,e
f,p
c,p
f,p
n,e
f,p
c,p
n,e
n,e
n,e
f,p
c,p
n,e
n,e
n,e
n,e
f,p
n,e
c,p
c,p
n,e
n,e
n,e
n,e
f,p
f,p
n,e
f,p
c,p
n,e
f,p
n,e
n,e
n,e
n,e
n,e
f,p
n,e
f,p
n,e
n,e
n,e
f,p
n,e
n,e
f,p
c,p
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
c,p
n,e
n,e
n,e
f,p
c,p
f,p
n,e
f,p
n,e
n,e
n,e
f,p
n,e
n,e
c,p
f,p
n,e
f,p
f,p
n,e
f,p
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
c,p
f,p
n,e
n,e
c,p
n,e
f,p
f,p
n,e
n,e
c,p
f,p
c,p
n,e
n,e
n,e
f,p
n,e
c,p
f,p
n,e
n,e
f,p
f,p
c,p
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
c,p
n,e
n,e
f,p
n,e
f,p
n,e
n,e
n,e
f,p
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
c,p
f,p
n,e
n,e
c,p
c,p
f,p
n,e
n,e
c,p
n,e
n,e
f,p
n,e
n,e
c,p
n,e
f,p
n,e
f,p
n,e
n,e
n,e
n,e
c,p
n,e
n,e
f,p
n,e
c,p
f,p
n,e
n,e
n,e
n,e
c,p
f,p
c,p
n,e
n,e
f,p
f,p
n,e
c,p
c,p
n,e
n,e
n,e
n,e
c,p
f,p
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
c,p
f,p
c,p
n,e
n,e
c,p
n,e
c,p
n,e
c,p
n,e
f,p
c,p
n,e
f,p
c,p
n,e
c,p
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
f,p
c,p
n,e
n,e
c,p
n,e
n,e
n,e
f,p
c,p
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
c,p
n,e
f,p
n,e
f,p
n,e
c,p
